3IN.L
IESE.L
IFFF.L
IFL.L
IGG.L
IGLN.L
IGSS.L
IHG.L
IHYU.L
III.L
IJPN.L
IMB.L
IMG.L
IMIB.L
IMI.L
INCH.L
INDV.L
INF.L
INPP.L
INTU.L
INVP.L
IPF.L
IPO.L
IPXJ.L
IRV.L
ISAT.L
ISF.L
ITE.L
ITRK.L
ITV.L
IUKP.L
IUSA.L
IWRD.L
JAI.L
JAM.L
JCH.L
JD.L
JDW.L
JE.L
JESC.L
JETG.L
JFJ.L
JII.L
JLG.L
JLIF.L
JLT.L
JMAT.L
JMG.L
JNKE.L
JPR.L
JPYP.L
JRP.L
JRS.L
JUP.L
KAZ.L
KCOM.L
KGF.L
KGP.L
KIE.L
KKB.L
KLR.L
KMG.L
KMR.L
KWE.L
L100.L
LAD.L
LAM.L
LAND.L
LAUD.L
LBUL.L
LCAD.L
LCHF.L
LEMB.L
LEMD.L
LEUR.L
LGBP.L
LGCU.L
LGEN.L
LGLD.L
LJPY.L
LKOD.L
LLOY.L
LMI.L
LMP.L
LNGA.L
LNOK.L
LNTA.L
LNZD.L
LOIL.L
LOOK.L
LOTS.L
LQDE.L
LRD.L
LRE.L
LSEK.L
LSE.L
LSRG.L
LTOD.L
LUK2.L
LWDB.L
MAB.L
MAIL.L
MARS.L
MCB.L
MCLS.L
MCRO.L
MCS.L
MDC.L
MDMG.L
MER.L
MERL.L
MFON.L
MGAM.L
MGGT.L
MGNS.L
MGNT.L
MHID.L
MHPC.L
MIDD.L
MKS.L
MLC.L
MMK.L
MNDI.L
MNKS.L
MNOD.L
MNZS.L
MOLD.L
MONY.L
MRCH.L
MRC.L
MRO.L
MRW.L
MSLH.L
MTC.L
MTO.L
MTRO.L
MUT.L
MVOL.L
MXJP.L
MXWO.L
MYI.L
NBLS.L
NCC.L
NCSP.L
NEX.L
NGAS.L
NG.L
NGSP.L
NLMK.L
NMC.L
NOG.L
NOKP.L
NORD.L
NTG.L
NVA.L
NVTK.L
NWR.L
NXT.L
NZDP.L
OCDO.L
OGDC.L
OGZD.L
OKEY.L
OML.L
OPHR.L
OSB.L
OTMT.L
OTPD.L
OXIG.L
P2P.L
PAGE.L
PAG.L
PAY.L
PAYS.L
PCT.L
PCTN.L
PDG.L
PDL.L
PETS.L
PFC.L
PFD.L
PFG.L
PFL.L
PHAG.L
PHAU.L
PHGP.L
PHNX.L
PHOR.L
PHP.L
PHSP.L
PHST.L
PHTM.L
PIK.L
PIN.L
PLI.L
PLND.L
PLP.L
PMO.L
PNL.L
PNN.L
POG.L
POLY.L
PPB.L
PRU.L
PSN.L
PSON.L
PTEC.L
PUB.L
PVCS.L
PZC.L
QDIV.L
QQ.L
RAT.L
RB.L
RBS.L
RCP.L
RDI.L
RDSA.L
RDSB.L
RDW.L
REL.L
RGU.L
RIFS.L
RIGD.L
RIO.L
RKMD.L
RMG.L
RMV.L
RNK.L
ROR.L
ROSN.L
RPC.L
RPS.L
RR.L
RRS.L
RSA.L
RSE.L
RSW.L
RTN.L
RTO.L
RUS.L
RWA.L
RYA.L
SAB.L
SAD.L
SAFE.L
SAGA.L
SAUP.L
SBER.L
SBID.L
SBRY.L
SCAD.L
SCDP.L
SCHF.L
SCHP.L
SCIN.L
SCT.L
SDL.L
SDP.L
SDRC.L
SDR.L
SDY.L
SEKP.L
SEUP.L
SEUR.L
SFR.L
SGBP.L
SGBS.L
SGC.L
SGE.L
SGGD.L
SGLD.L
SGLN.L
SGLP.L
SGP.L
SGRO.L
SHAW.L
SHB.L
SHI.L
SHP.L
SIA.L
SIV.L
SJPP.L
SJPY.L
SKG.L
SKS.L
SKY.L
SLED.L
SL.L
SMDS.L
SMIN.L
SMP.L
SMSD.L
SMSN.L
SMT.L
SMWH.L
SNGA.L
SNGR.L
SN.L
SNOK.L
SNOP.L
SNR.L
SNZD.L
SNZP.L
SOIL.L
SOPH.L
SPD.L
SPI.L
SPT.L
SPX.L
SREI.L
SRP.L
SSA.L
SSEK.L
SSE.L
SSEP.L
SSPG.L
STAN.L
STCK.L
STHR.L
STJ.L
STOB.L
SUK2.L
SVI.L
SVS.L
SVST.L
SVT.L
SXS.L
SYNT.L
TALK.L
TATE.L
TCG.L
TCS.L
TED.L
TEEG.L
TEM.L
TEP.L
TLPR.L
TLW.L
TMKS.L
TMPL.L
TNI.L
TPK.L
TPT.L
TRCN.L
TRIG.L
TRY.L
TSCO.L
TTG.L
TUI.L
TW.L
UAI.L
UBM.L
UDG.L
UEM.L
UKCM.L
ULE.L
ULVR.L
USAG.L
USAU.L
USD2.L
UTG.L
UU.L
VCT.L
VEC.L
VED.L
VICO.L
VM.L
VOD.L
VSVS.L
VTBR.L
VUSD.L
WEIR.L
WG.L
WIN.L
WIZZ.L
WKP.L
WLDD.L
WMH.L
WOS.L
WPCT.L
WPG.L
WPP.L
WTAN.L
WTB.L
WWH.L
XAR.L
XESC.L
XESX.L
XIDD.L
XMCX.L
XMED.L
XMEM.L
XMES.L
XMJD.L
XMLD.L
XMTD.L
XMWD.L
XPXD.L
XS2D.L
XSD2.L
XSPU.L
XSPX.L
XSSX.L
XSX6.L
XT2D.L
XUKS.L
XUKX.L
XUSD.L
XUTD.L
XX2D.L
ZENB.L
ZPLA.L
